web-scraper-order,web-scraper-start-url,title,air_date,rating,score,description,image-src
"1708596369-84","https://www.imdb.com/search/title/?title_type=tv_series","34. Shameless","2011–2021","TV-MA","8.5 (279K)","A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","https://m.media-amazon.com/images/M/MV5BZDgxNjQ2MjMtMjk2Yi00M2Q2LWI0ZDktOGM1NWI5YWUzMjk4XkEyXkFqcGdeQXVyOTA3MTMyOTk@._V1_QL75_UX140_CR0,1,140,207_.jpg"
"1708596369-85","https://www.imdb.com/search/title/?title_type=tv_series","35. The Office","2005–2013","TV-14","9.0 (698K)","A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","https://m.media-amazon.com/images/M/MV5BMDNkOTE4NDQtMTNmYi00MWE0LWE4ZTktYTc0NzhhNWIzNzJiXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_QL75_UX140_CR0,1,140,207_.jpg"
"1708596369-86","https://www.imdb.com/search/title/?title_type=tv_series","36. Death and Other Details","2024–","TV-MA","6.9 (4.1K)","Detective Rufus Cotesworth and his protégé, Imogene, dig for the truth on a Mediterranean ocean liner where everyone is hiding something.","https://m.media-amazon.com/images/M/MV5BZWZiYzZjYzAtZjQ4My00MjEyLWJhNWUtYWQ5ZGI4NDVkNTVkXkEyXkFqcGdeQXVyMzUwNDIxMjQ@._V1_QL75_UX140_CR0,0,140,207_.jpg"
"1708596369-87","https://www.imdb.com/search/title/?title_type=tv_series","37. Loudermilk","2017–2020","TV-14","7.9 (15K)","Sam Loudermilk is a recovering alcoholic and substance-abuse counselor with a bad attitude. Although he has his drinking under control, Loudermilk discovers that when your life is a mess, getting clean is the easy part.","https://m.media-amazon.com/images/M/MV5BMjEwMjI4MjIzNl5BMl5BanBnXkFtZTgwNDA2NDQxMzI@._V1_QL75_UY207_CR7,0,140,207_.jpg"
"1708596369-88","https://www.imdb.com/search/title/?title_type=tv_series","38. Supernatural","2005–2020","TV-14","8.4 (478K)","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.","https://m.media-amazon.com/images/M/MV5BNzRmZWJhNjUtY2ZkYy00N2MyLWJmNTktOTAwY2VkODVmOGY3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX140_CR0,1,140,207_.jpg"
"1708596369-89","https://www.imdb.com/search/title/?title_type=tv_series","39. Stranger Things","2016–2025","TV-14","8.7 (1.3M)","When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.","https://m.media-amazon.com/images/M/MV5BMDZkYmVhNjMtNWU4MC00MDQxLWE3MjYtZGMzZWI1ZjhlOWJmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY207_CR13,0,140,207_.jpg"
"1708596369-90","https://www.imdb.com/search/title/?title_type=tv_series","40. Abbott Elementary","2021–","TV-PG","8.2 (32K)","A workplace comedy centered around a group of dedicated teachers - and an oblivious principal - in a Philadelphia public school where, despite the odds stacked against them, they are determined to help their students succeed in life.","https://m.media-amazon.com/images/M/MV5BZmZmNDVmNTEtMTk5Mi00ZmQ1LWI1ZmItYmVkZDM0YTdlY2Y3XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX140_CR0,0,140,207_.jpg"
"1708596369-91","https://www.imdb.com/search/title/?title_type=tv_series","41. Criminal Minds","2005–","TV-14","8.1 (216K)","A group of criminal profilers who work for the FBI as members of its Behavioral Analysis Unit (BAU) using behavioral analysis and profiling to help investigate crimes and find the suspect known as the unsub.","https://m.media-amazon.com/images/M/MV5BZWVjZWUyMzUtMGRiMS00MzhkLWI5NTQtYjBmZWVlZThjZjFkXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_QL75_UX140_CR0,1,140,207_.jpg"
"1708596369-92","https://www.imdb.com/search/title/?title_type=tv_series","42. Death in Paradise","2011–","TV-PG","7.8 (27K)","A Detective Inspector is transferred from London to the Caribbean island of Saint-Marie to investigate and solve complex murders.","https://m.media-amazon.com/images/M/MV5BMTc5OTc3MjAwN15BMl5BanBnXkFtZTgwODAxMDQyMTE@._V1_QL75_UY207_CR1,0,140,207_.jpg"
"1708596369-93","https://www.imdb.com/search/title/?title_type=tv_series","43. Doctor Who","2005–","TV-PG","8.6 (245K)","The further adventures in time and space of the alien adventurer known as the Doctor and his companions from planet Earth.","https://m.media-amazon.com/images/M/MV5BNjBkMWJkNTYtYjMwYy00ZjZiLWIwYmEtNzMyOTJjODRhNTlhXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UY207_CR13,0,140,207_.jpg"
